 [2019-05-15 22:13:47,748] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 22:13:47,779] INFO    31[main] - applications.Main.main(Main.java:36) - 读取trackgame.txt的信息
 [2019-05-15 22:13:47,779] INFO    31[main] - applications.Main.main(Main.java:40) - 正在对读入文本进行正则表达式解析！
 [2019-05-15 22:13:47,794]ERROR    46[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-15 22:13:52,652] INFO  4904[main] - applications.Main.main(Main.java:44) - 输出应用一的选择菜单
 [2019-05-15 22:15:37,604] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:15:37,604] INFO     0[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
 [2019-05-15 22:15:37,635]ERROR    31[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:493) - 应用三输入文本的格式不对，重新输入文本
 [2019-05-15 22:15:43,579]ERROR  5975[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:493) - 应用三输入文本的格式不对，重新输入文本
 [2019-05-15 22:16:52,249] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:16:52,265] INFO    16[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
 [2019-05-15 22:16:52,281]ERROR    32[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:494) - 应用三输入文本的格式不对，重新输入文本
 [2019-05-15 22:17:01,386]ERROR  9137[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:494) - 应用三输入文本的格式不对，重新输入文本
 [2019-05-15 22:17:58,292] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:17:58,302] INFO    10[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
 [2019-05-15 22:17:58,320]ERROR    28[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-15 22:18:02,880]ERROR  4588[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-15 22:18:51,138] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:18:51,154] INFO    16[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
 [2019-05-15 22:18:51,169]ERROR    31[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-15 22:18:55,484] INFO  4346[main] - applications.Main.main(Main.java:180) - 输出应用三菜单
 [2019-05-15 22:25:14,907] INFO     0[main] - applications.Main.main(Main.java:32) - 选择trackgame应用
 [2019-05-15 22:25:14,923] INFO    16[main] - applications.Main.main(Main.java:36) - 读取trackgame.txt的信息
 [2019-05-15 22:25:14,923] INFO    16[main] - applications.Main.main(Main.java:40) - 正在对读入文本进行正则表达式解析！
 [2019-05-15 22:25:14,938]ERROR    31[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-15 22:25:19,108] INFO  4201[main] - applications.Main.main(Main.java:44) - 输出应用一的选择菜单
 [2019-05-15 22:25:24,837] INFO     0[main] - applications.Main.main(Main.java:112) - 读取 AtomicStructure.txt文件的信息
 [2019-05-15 22:25:24,853] INFO    16[main] - applications.Main.main(Main.java:115) - 对应用二读入文本进行正则表达式匹配
 [2019-05-15 22:25:24,869]ERROR    32[main] - circularOrbit.AtomStructure.Analysis(AtomStructure.java:152) - 应用2电子的轨道数超过了轨道数，重新输入文本
 [2019-05-15 22:25:26,664] INFO  1827[main] - applications.Main.main(Main.java:119) - 输出应用二的功能菜单
 [2019-05-15 22:25:30,375] INFO  5538[main] - applications.Main.main(Main.java:161) - 退出当前应用
 [2019-05-15 22:25:30,375] INFO  5538[main] - applications.Main.main(Main.java:119) - 输出应用二的功能菜单
 [2019-05-15 22:25:34,160] INFO  9323[main] - applications.Main.main(Main.java:161) - 退出当前应用
 [2019-05-15 22:25:34,160] INFO  9323[main] - applications.Main.main(Main.java:119) - 输出应用二的功能菜单
 [2019-05-15 22:25:45,874] INFO     0[main] - applications.Main.main(Main.java:173) - 读入SocialNetworkCircle.txt 文件
 [2019-05-15 22:25:45,889] INFO    15[main] - applications.Main.main(Main.java:176) - 对应用三的文本进行正则表达式匹配
 [2019-05-15 22:25:45,889]ERROR    15[main] - circularOrbit.SocialNetworkCircle.Analysis(SocialNetworkCircle.java:259) - 应用三有关系没有对应该人名，或者有friends标签放在了socialtie之后，重新输入文本
 [2019-05-15 22:25:50,586] INFO  4712[main] - applications.Main.main(Main.java:180) - 输出应用三菜单
 [2019-05-16 09:42:26,725] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 09:42:26,819] INFO    94[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 09:42:26,819] INFO    94[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 09:42:26,850]ERROR   125[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 09:42:34,854] INFO  8129[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 09:44:58,393] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 09:44:58,425] INFO    32[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
