 [2019-06-18 21:32:54,318] INFO 42909[Thread-23019] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22453] - lab6.monkey.run(monkey.java:144) - 猴子 2454 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22453] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22453] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21165] - lab6.monkey.run(monkey.java:144) - 猴子 1166 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21165] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21165] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22465] - lab6.monkey.run(monkey.java:144) - 猴子 2466 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22465] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22465] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21933] - lab6.monkey.run(monkey.java:144) - 猴子 1934 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21933] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21933] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22881] - lab6.monkey.run(monkey.java:144) - 猴子 2882 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22881] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22881] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21815] - lab6.monkey.run(monkey.java:144) - 猴子 1816 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21815] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21815] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22169] - lab6.monkey.run(monkey.java:144) - 猴子 2170 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22169] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22169] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22131] - lab6.monkey.run(monkey.java:144) - 猴子 2132 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22131] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22131] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23145] - lab6.monkey.run(monkey.java:144) - 猴子 3146 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23145] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23145] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23973] - lab6.monkey.run(monkey.java:144) - 猴子 3974 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23973] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23973] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23347] - lab6.monkey.run(monkey.java:144) - 猴子 3348 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23347] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23347] - lab6.monkey.run(monkey.java:153) - 31 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22553] - lab6.monkey.run(monkey.java:144) - 猴子 2554 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22553] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22553] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22535] - lab6.monkey.run(monkey.java:144) - 猴子 2536 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22535] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22535] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22677] - lab6.monkey.run(monkey.java:144) - 猴子 2678 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22677] - lab6.monkey.run(monkey.java:146) - 左边
