 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:144) - 猴子 252 在等待在 
 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,704] INFO956829[Thread-551] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:144) - 猴子 242 在等待在 
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,704] INFO956829[Thread-541] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:144) - 猴子 218 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-517] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:144) - 猴子 266 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-565] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:144) - 猴子 92 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,736] INFO956861[Thread-391] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:144) - 猴子 136 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-435] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:144) - 猴子 168 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-467] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:144) - 猴子 264 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-563] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:144) - 猴子 262 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-561] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-401] - lab6.monkey.run(monkey.java:144) - 猴子 102 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-401] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-401] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-483] - lab6.monkey.run(monkey.java:144) - 猴子 184 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-483] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,736] INFO956861[Thread-483] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-441] - lab6.monkey.run(monkey.java:144) - 猴子 142 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-441] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,736] INFO956861[Thread-441] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,736] INFO956861[Thread-425] - lab6.monkey.run(monkey.java:144) - 猴子 126 在等待在 
 [2019-06-18 22:20:28,736] INFO956861[Thread-425] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,736] INFO956861[Thread-425] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-423] - lab6.monkey.run(monkey.java:144) - 猴子 124 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-423] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,798] INFO956923[Thread-423] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-568] - lab6.monkey.run(monkey.java:144) - 猴子 269 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-568] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,798] INFO956923[Thread-568] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-538] - lab6.monkey.run(monkey.java:144) - 猴子 239 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-538] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,798] INFO956923[Thread-538] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-438] - lab6.monkey.run(monkey.java:144) - 猴子 139 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-438] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,798] INFO956923[Thread-438] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-442] - lab6.monkey.run(monkey.java:144) - 猴子 143 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-442] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,798] INFO956923[Thread-442] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-338] - lab6.monkey.run(monkey.java:144) - 猴子 39 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-338] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,798] INFO956923[Thread-338] - lab6.monkey.run(monkey.java:153) - 941 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-519] - lab6.monkey.run(monkey.java:144) - 猴子 220 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-519] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,798] INFO956923[Thread-519] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,798] INFO956923[Thread-536] - lab6.monkey.run(monkey.java:144) - 猴子 237 在等待在 
 [2019-06-18 22:20:28,798] INFO956923[Thread-536] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,798] INFO956923[Thread-536] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-404] - lab6.monkey.run(monkey.java:144) - 猴子 105 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-404] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-404] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-466] - lab6.monkey.run(monkey.java:144) - 猴子 167 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-466] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-466] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-496] - lab6.monkey.run(monkey.java:144) - 猴子 197 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-496] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-496] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-544] - lab6.monkey.run(monkey.java:144) - 猴子 245 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-544] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-544] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-368] - lab6.monkey.run(monkey.java:144) - 猴子 69 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-368] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-368] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-486] - lab6.monkey.run(monkey.java:144) - 猴子 187 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-486] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-486] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-390] - lab6.monkey.run(monkey.java:144) - 猴子 91 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-390] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-390] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-494] - lab6.monkey.run(monkey.java:144) - 猴子 195 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-494] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-494] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-372] - lab6.monkey.run(monkey.java:144) - 猴子 73 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-372] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-372] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-306] - lab6.monkey.run(monkey.java:144) - 猴子 7 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-306] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-306] - lab6.monkey.run(monkey.java:153) - 946 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-512] - lab6.monkey.run(monkey.java:144) - 猴子 213 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-512] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-512] - lab6.monkey.run(monkey.java:153) - 911 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-444] - lab6.monkey.run(monkey.java:144) - 猴子 145 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-444] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-444] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-542] - lab6.monkey.run(monkey.java:144) - 猴子 243 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-542] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-542] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-382] - lab6.monkey.run(monkey.java:144) - 猴子 83 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-382] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,876] INFO957001[Thread-382] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-488] - lab6.monkey.run(monkey.java:144) - 猴子 189 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-488] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-488] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,876] INFO957001[Thread-470] - lab6.monkey.run(monkey.java:144) - 猴子 171 在等待在 
 [2019-06-18 22:20:28,876] INFO957001[Thread-470] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,876] INFO957001[Thread-470] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:28,892] INFO957017[Thread-398] - lab6.monkey.run(monkey.java:144) - 猴子 99 在等待在 
 [2019-06-18 22:20:28,892] INFO957017[Thread-398] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,892] INFO957017[Thread-398] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:28,923] INFO957048[Thread-366] - lab6.monkey.run(monkey.java:144) - 猴子 67 在等待在 
 [2019-06-18 22:20:28,923] INFO957048[Thread-366] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,923] INFO957048[Thread-366] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,923] INFO957048[Thread-480] - lab6.monkey.run(monkey.java:144) - 猴子 181 在等待在 
 [2019-06-18 22:20:28,923] INFO957048[Thread-480] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,923] INFO957048[Thread-480] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,923] INFO957048[Thread-540] - lab6.monkey.run(monkey.java:144) - 猴子 241 在等待在 
 [2019-06-18 22:20:28,923] INFO957048[Thread-540] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,923] INFO957048[Thread-540] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,923] INFO957048[Thread-508] - lab6.monkey.run(monkey.java:144) - 猴子 209 在等待在 
 [2019-06-18 22:20:28,923] INFO957048[Thread-508] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,923] INFO957048[Thread-508] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,923] INFO957048[Thread-548] - lab6.monkey.run(monkey.java:144) - 猴子 249 在等待在 
 [2019-06-18 22:20:28,923] INFO957048[Thread-548] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,923] INFO957048[Thread-548] - lab6.monkey.run(monkey.java:153) - 906 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-342] - lab6.monkey.run(monkey.java:144) - 猴子 43 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-342] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,985] INFO957110[Thread-342] - lab6.monkey.run(monkey.java:153) - 941 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-504] - lab6.monkey.run(monkey.java:144) - 猴子 205 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-504] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,985] INFO957110[Thread-504] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-384] - lab6.monkey.run(monkey.java:144) - 猴子 85 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-384] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,985] INFO957110[Thread-384] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-302] - lab6.monkey.run(monkey.java:144) - 猴子 3 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-302] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,985] INFO957110[Thread-302] - lab6.monkey.run(monkey.java:153) - 946 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-500] - lab6.monkey.run(monkey.java:144) - 猴子 201 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-500] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,985] INFO957110[Thread-500] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-386] - lab6.monkey.run(monkey.java:144) - 猴子 87 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-386] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,985] INFO957110[Thread-386] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-348] - lab6.monkey.run(monkey.java:144) - 猴子 49 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-348] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:28,985] INFO957110[Thread-348] - lab6.monkey.run(monkey.java:153) - 941 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-336] - lab6.monkey.run(monkey.java:144) - 猴子 37 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-336] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,985] INFO957110[Thread-336] - lab6.monkey.run(monkey.java:153) - 941 秒过去出生后
 [2019-06-18 22:20:28,985] INFO957110[Thread-370] - lab6.monkey.run(monkey.java:144) - 猴子 71 在等待在 
 [2019-06-18 22:20:28,985] INFO957110[Thread-370] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:28,985] INFO957110[Thread-370] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:29,063] INFO957188[Thread-408] - lab6.monkey.run(monkey.java:144) - 猴子 109 在等待在 
 [2019-06-18 22:20:29,063] INFO957188[Thread-408] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:29,063] INFO957188[Thread-408] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-312] - lab6.monkey.run(monkey.java:144) - 猴子 13 在等待在 
 [2019-06-18 22:20:29,094] INFO957219[Thread-312] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,094] INFO957219[Thread-312] - lab6.monkey.run(monkey.java:153) - 946 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-367] - lab6.monkey.run(monkey.java:144) - 猴子 68 在等待在 
 [2019-06-18 22:20:29,094] INFO957219[Thread-367] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,094] INFO957219[Thread-367] - lab6.monkey.run(monkey.java:153) - 936 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-411] - lab6.monkey.run(monkey.java:144) - 猴子 112 在等待在 
